"customer_id","customer","invoice_month","total_spendings","monthly_customer_rank"
23,"John Gordon","2021-01","13.86","1"
14,"Mark Philips","2021-01","8.91","2"
8,"Daan Peeters","2021-01","5.94","3"
2,"Leonie Köhler","2021-02","13.86","1"
52,"Emma Jones","2021-02","8.91","2"
46,"Hugh O'Reilly","2021-02","5.94","3"
40,"Dominique Lefebvre","2021-03","13.86","1"
31,"Martha Silk","2021-03","8.91","2"
25,"Victor Stevens","2021-03","5.94","3"
19,"Tim Goyer","2021-04","13.86","1"
10,"Eduardo Martins","2021-04","8.91","2"
4,"Bjørn Hansen","2021-04","5.94","3"
57,"Luis Rojas","2021-05","13.86","1"
48,"Johannes Van der Berg","2021-05","8.91","2"
42,"Wyatt Girard","2021-05","5.94","3"
36,"Hannah Schneider","2021-06","13.86","1"
27,"Patrick Gray","2021-06","8.91","2"
21,"Kathy Chase","2021-06","5.94","3"
15,"Jennifer Peterson","2021-07","13.86","1"
6,"Helena Holý","2021-07","8.91","2"
59,"Puja Srivastava","2021-07","5.94","3"
53,"Phil Hughes","2021-08","13.86","1"
44,"Terhi Hämäläinen","2021-08","8.91","2"
38,"Niklas Schröder","2021-08","5.94","3"
32,"Aaron Mitchell","2021-09","13.86","1"
23,"John Gordon","2021-09","8.91","2"
17,"Jack Smith","2021-09","5.94","3"
11,"Alexandre Rocha","2021-10","13.86","1"
2,"Leonie Köhler","2021-10","8.91","2"
55,"Mark Taylor","2021-10","5.94","3"
49,"Stanisław Wójcik","2021-11","13.86","1"
40,"Dominique Lefebvre","2021-11","8.91","2"
34,"João Fernandes","2021-11","5.94","3"
28,"Julia Barnett","2021-12","13.86","1"
19,"Tim Goyer","2021-12","8.91","2"
13,"Fernanda Ramos","2021-12","5.94","3"
7,"Astrid Gruber","2022-01","18.86","1"
57,"Luis Rojas","2022-01","17.91","2"
51,"Joakim Johansson","2022-01","6.94","3"
45,"Ladislav Kovács","2022-02","21.86","1"
36,"Hannah Schneider","2022-02","8.91","2"
30,"Edward Francis","2022-02","5.94","3"
24,"Frank Ralston","2022-03","15.86","1"
15,"Jennifer Peterson","2022-03","9.91","2"
9,"Kara Nielsen","2022-03","5.94","3"
3,"François Tremblay","2022-04","13.86","1"
53,"Phil Hughes","2022-04","8.91","2"
47,"Lucas Mancini","2022-04","5.94","3"
41,"Marc Dubois","2022-05","13.86","1"
32,"Aaron Mitchell","2022-05","8.91","2"
26,"Richard Cunningham","2022-05","5.94","3"
20,"Dan Miller","2022-06","13.86","1"
11,"Alexandre Rocha","2022-06","8.91","2"
5,"František Wichterlová","2022-06","5.94","3"
58,"Manoj Pareek","2022-07","13.86","1"
49,"Stanisław Wójcik","2022-07","8.91","2"
43,"Isabelle Mercier","2022-07","5.94","3"
37,"Fynn Zimmermann","2022-08","13.86","1"
28,"Julia Barnett","2022-08","8.91","2"
22,"Heather Leacock","2022-08","5.94","3"
16,"Frank Harris","2022-09","13.86","1"
7,"Astrid Gruber","2022-09","8.91","2"
1,"Luís Gonçalves","2022-09","5.94","3"
54,"Steve Murray","2022-10","13.86","1"
45,"Ladislav Kovács","2022-10","8.91","2"
39,"Camille Bernard","2022-10","5.94","3"
33,"Ellie Sullivan","2022-11","13.86","1"
24,"Frank Ralston","2022-11","8.91","2"
18,"Michelle Brooks","2022-11","5.94","3"
12,"Roberto Almeida","2022-12","13.86","1"
3,"François Tremblay","2022-12","8.91","2"
56,"Diego Gutiérrez","2022-12","5.94","3"
50,"Enrique Muñoz","2023-01","13.86","1"
41,"Marc Dubois","2023-01","8.91","2"
35,"Madalena Sampaio","2023-01","5.94","3"
29,"Robert Brown","2023-02","13.86","1"
20,"Dan Miller","2023-02","8.91","2"
14,"Mark Philips","2023-02","5.94","3"
8,"Daan Peeters","2023-03","13.86","1"
58,"Manoj Pareek","2023-03","8.91","2"
52,"Emma Jones","2023-03","5.94","3"
46,"Hugh O'Reilly","2023-04","21.86","1"
37,"Fynn Zimmermann","2023-04","14.91","2"
31,"Martha Silk","2023-04","5.94","3"
25,"Victor Stevens","2023-05","18.86","1"
16,"Frank Harris","2023-05","8.91","2"
10,"Eduardo Martins","2023-05","5.94","3"
4,"Bjørn Hansen","2023-06","15.86","1"
48,"Johannes Van der Berg","2023-06","8.94","2"
54,"Steve Murray","2023-06","8.91","3"
42,"Wyatt Girard","2023-07","13.86","1"
33,"Ellie Sullivan","2023-07","8.91","2"
27,"Patrick Gray","2023-07","5.94","3"
21,"Kathy Chase","2023-08","13.86","1"
12,"Roberto Almeida","2023-08","8.91","2"
6,"Helena Holý","2023-08","5.94","3"
59,"Puja Srivastava","2023-09","13.86","1"
50,"Enrique Muñoz","2023-09","8.91","2"
44,"Terhi Hämäläinen","2023-09","5.94","3"
38,"Niklas Schröder","2023-10","13.86","1"
29,"Robert Brown","2023-10","8.91","2"
23,"John Gordon","2023-10","5.94","3"
8,"Daan Peeters","2023-11","8.91","1"
2,"Leonie Köhler","2023-11","5.94","2"
57,"Luis Rojas","2023-11","3.96","3"
17,"Jack Smith","2023-12","13.86","1"
46,"Hugh O'Reilly","2023-12","8.91","2"
40,"Dominique Lefebvre","2023-12","5.94","3"
55,"Mark Taylor","2024-01","13.86","1"
25,"Victor Stevens","2024-01","8.91","2"
19,"Tim Goyer","2024-01","5.94","3"
34,"João Fernandes","2024-02","13.86","1"
4,"Bjørn Hansen","2024-02","8.91","2"
57,"Luis Rojas","2024-02","5.94","3"
13,"Fernanda Ramos","2024-03","13.86","1"
42,"Wyatt Girard","2024-03","8.91","2"
36,"Hannah Schneider","2024-03","5.94","3"
51,"Joakim Johansson","2024-04","13.86","1"
21,"Kathy Chase","2024-04","8.91","2"
