"customer_id","customer_name","total_number_of_tracks","customer_rank"
30,"Edward Francis","38","1"
34,"João Fernandes","38","1"
19,"Tim Goyer","38","1"
26,"Richard Cunningham","38","1"
37,"Fynn Zimmermann","38","1"
55,"Mark Taylor","38","1"
46,"Hugh O'Reilly","38","1"
13,"Fernanda Ramos","38","1"
24,"Frank Ralston","38","1"
49,"Stanisław Wójcik","38","1"
47,"Lucas Mancini","38","1"
53,"Phil Hughes","38","1"
54,"Steve Murray","38","1"
27,"Patrick Gray","38","1"
21,"Kathy Chase","38","1"
15,"Jennifer Peterson","38","1"
38,"Niklas Schröder","38","1"
7,"Astrid Gruber","38","1"
14,"Mark Philips","38","1"
9,"Kara Nielsen","38","1"
2,"Leonie Köhler","38","1"
1,"Luís Gonçalves","38","1"
11,"Alexandre Rocha","38","1"
45,"Ladislav Kovács","38","1"
4,"Bjørn Hansen","38","1"
25,"Victor Stevens","38","1"
20,"Dan Miller","38","1"
35,"Madalena Sampaio","38","1"
52,"Emma Jones","38","1"
42,"Wyatt Girard","38","1"
23,"John Gordon","38","1"
44,"Terhi Hämäläinen","38","1"
16,"Frank Harris","38","1"
17,"Jack Smith","38","1"
50,"Enrique Muñoz","38","1"
6,"Helena Holý","38","1"
36,"Hannah Schneider","38","1"
5,"František Wichterlová","38","1"
3,"François Tremblay","38","1"
57,"Luis Rojas","38","1"
29,"Robert Brown","38","1"
39,"Camille Bernard","38","1"
40,"Dominique Lefebvre","38","1"
31,"Martha Silk","38","1"
41,"Marc Dubois","38","1"
58,"Manoj Pareek","38","1"
56,"Diego Gutiérrez","38","1"
10,"Eduardo Martins","38","1"
33,"Ellie Sullivan","38","1"
43,"Isabelle Mercier","38","1"
48,"Johannes Van der Berg","38","1"
32,"Aaron Mitchell","38","1"
51,"Joakim Johansson","38","1"
28,"Julia Barnett","38","1"
18,"Michelle Brooks","38","1"
12,"Roberto Almeida","38","1"
8,"Daan Peeters","38","1"
22,"Heather Leacock","38","1"
59,"Puja Srivastava","36","2"
