"customer_id","customer_name","first_invoice","last_invoice","time_between_first_and_last_invoice","number_of_invoices"
16,"Frank Harris","2021-02-19 00:00:00","2025-07-04 00:00:00","{""days"":1596}","7"
18,"Michelle Brooks","2022-05-12 00:00:00","2025-10-08 00:00:00","{""days"":1245}","7"
34,"João Fernandes","2021-05-05 00:00:00","2024-10-01 00:00:00","{""days"":1245}","7"
17,"Jack Smith","2021-03-04 00:00:00","2024-07-31 00:00:00","{""days"":1245}","7"
50,"Enrique Muñoz","2021-06-23 00:00:00","2025-11-05 00:00:00","{""days"":1596}","7"
19,"Tim Goyer","2021-03-04 00:00:00","2024-09-13 00:00:00","{""days"":1289}","7"
6,"Helena Holý","2021-07-11 00:00:00","2025-11-13 00:00:00","{""days"":1586}","7"
26,"Richard Cunningham","2021-11-07 00:00:00","2025-04-05 00:00:00","{""days"":1245}","7"
36,"Hannah Schneider","2021-05-05 00:00:00","2024-11-14 00:00:00","{""days"":1289}","7"
3,"François Tremblay","2022-03-11 00:00:00","2025-09-20 00:00:00","{""days"":1289}","7"
5,"František Wichterlová","2021-12-08 00:00:00","2025-05-06 00:00:00","{""days"":1245}","7"
37,"Fynn Zimmermann","2021-01-19 00:00:00","2025-06-03 00:00:00","{""days"":1596}","7"
57,"Luis Rojas","2021-04-04 00:00:00","2024-10-14 00:00:00","{""days"":1289}","7"
55,"Mark Taylor","2021-04-04 00:00:00","2024-08-31 00:00:00","{""days"":1245}","7"
29,"Robert Brown","2021-07-24 00:00:00","2025-12-06 00:00:00","{""days"":1596}","7"
39,"Camille Bernard","2022-04-11 00:00:00","2025-09-07 00:00:00","{""days"":1245}","7"
46,"Hugh O'Reilly","2021-02-03 00:00:00","2025-11-04 00:00:00","{""days"":1735}","7"
13,"Fernanda Ramos","2021-06-05 00:00:00","2024-11-01 00:00:00","{""days"":1245}","7"
40,"Dominique Lefebvre","2021-02-01 00:00:00","2024-08-13 00:00:00","{""days"":1289}","7"
31,"Martha Silk","2021-03-09 00:00:00","2025-07-12 00:00:00","{""days"":1586}","7"
24,"Frank Ralston","2022-02-08 00:00:00","2025-08-20 00:00:00","{""days"":1289}","7"
49,"Stanisław Wójcik","2021-10-07 00:00:00","2025-04-18 00:00:00","{""days"":1289}","7"
47,"Lucas Mancini","2021-10-07 00:00:00","2025-03-05 00:00:00","{""days"":1245}","7"
41,"Marc Dubois","2022-04-11 00:00:00","2025-10-21 00:00:00","{""days"":1289}","7"
58,"Manoj Pareek","2022-06-12 00:00:00","2025-12-22 00:00:00","{""days"":1289}","7"
53,"Phil Hughes","2021-07-06 00:00:00","2025-01-15 00:00:00","{""days"":1289}","7"
