"customer_id","concat","average_time_between_purchases","customer_rank_avg_time","number_of_invoices"
1,"Luís Gonçalves","{""days"":207,""hours"":12}","1","6"
34,"João Fernandes","{""days"":207,""hours"":12}","1","6"
18,"Michelle Brooks","{""days"":207,""hours"":12}","1","6"
17,"Jack Smith","{""days"":207,""hours"":12}","1","6"
26,"Richard Cunningham","{""days"":207,""hours"":12}","1","6"
5,"František Wichterlová","{""days"":207,""hours"":12}","1","6"
55,"Mark Taylor","{""days"":207,""hours"":12}","1","6"
39,"Camille Bernard","{""days"":207,""hours"":12}","1","6"
13,"Fernanda Ramos","{""days"":207,""hours"":12}","1","6"
47,"Lucas Mancini","{""days"":207,""hours"":12}","1","6"
56,"Diego Gutiérrez","{""days"":207,""hours"":12}","1","6"
43,"Isabelle Mercier","{""days"":207,""hours"":12}","1","6"
38,"Niklas Schröder","{""days"":207,""hours"":12}","1","6"
51,"Joakim Johansson","{""days"":207,""hours"":12}","1","6"
9,"Kara Nielsen","{""days"":207,""hours"":12}","1","6"
35,"Madalena Sampaio","{""days"":207,""hours"":12}","1","6"
22,"Heather Leacock","{""days"":207,""hours"":12}","1","6"
30,"Edward Francis","{""days"":207,""hours"":12}","1","6"
40,"Dominique Lefebvre","{""days"":214,""hours"":20}","2","6"
24,"Frank Ralston","{""days"":214,""hours"":20}","2","6"
49,"Stanisław Wójcik","{""days"":214,""hours"":20}","2","6"
41,"Marc Dubois","{""days"":214,""hours"":20}","2","6"
58,"Manoj Pareek","{""days"":214,""hours"":20}","2","6"
53,"Phil Hughes","{""days"":214,""hours"":20}","2","6"
15,"Jennifer Peterson","{""days"":214,""hours"":20}","2","6"
32,"Aaron Mitchell","{""days"":214,""hours"":20}","2","6"
7,"Astrid Gruber","{""days"":214,""hours"":20}","2","6"
2,"Leonie Köhler","{""days"":214,""hours"":20}","2","6"
28,"Julia Barnett","{""days"":214,""hours"":20}","2","6"
19,"Tim Goyer","{""days"":214,""hours"":20}","2","6"
11,"Alexandre Rocha","{""days"":214,""hours"":20}","2","6"
36,"Hannah Schneider","{""days"":214,""hours"":20}","2","6"
45,"Ladislav Kovács","{""days"":214,""hours"":20}","2","6"
3,"François Tremblay","{""days"":214,""hours"":20}","2","6"
57,"Luis Rojas","{""days"":214,""hours"":20}","2","6"
20,"Dan Miller","{""days"":214,""hours"":20}","2","6"
59,"Puja Srivastava","{""days"":230,""hours"":4,""minutes"":48}","3","5"
27,"Patrick Gray","{""days"":264,""hours"":8}","4","6"
14,"Mark Philips","{""days"":264,""hours"":8}","4","6"
44,"Terhi Hämäläinen","{""days"":264,""hours"":8}","4","6"
10,"Eduardo Martins","{""days"":264,""hours"":8}","4","6"
6,"Helena Holý","{""days"":264,""hours"":8}","4","6"
31,"Martha Silk","{""days"":264,""hours"":8}","4","6"
48,"Johannes Van der Berg","{""days"":264,""hours"":8}","4","6"
52,"Emma Jones","{""days"":264,""hours"":8}","4","6"
12,"Roberto Almeida","{""days"":266}","5","6"
29,"Robert Brown","{""days"":266}","5","6"
16,"Frank Harris","{""days"":266}","5","6"
50,"Enrique Muñoz","{""days"":266}","5","6"
37,"Fynn Zimmermann","{""days"":266}","5","6"
33,"Ellie Sullivan","{""days"":266}","5","6"
54,"Steve Murray","{""days"":266}","5","6"
46,"Hugh O'Reilly","{""days"":289,""hours"":4}","6","6"
42,"Wyatt Girard","{""days"":289,""hours"":4}","6","6"
25,"Victor Stevens","{""days"":289,""hours"":4}","6","6"
8,"Daan Peeters","{""days"":289,""hours"":4}","6","6"
21,"Kathy Chase","{""days"":289,""hours"":4}","6","6"
4,"Bjørn Hansen","{""days"":289,""hours"":4}","6","6"
23,"John Gordon","{""days"":298}","7","6"
