"customer_id","customer_name","invoice_date","previous_invoice_date","time_diff_from_last_invoice"
48,"Johannes Van der Berg","2022-12-15 00:00:00","2021-05-10 00:00:00","{""days"":584}"
45,"Ladislav Kovács","2024-05-25 00:00:00","2022-10-19 00:00:00","{""days"":584}"
4,"Bjørn Hansen","2025-10-03 00:00:00","2024-02-27 00:00:00","{""days"":584}"
12,"Roberto Almeida","2025-03-31 00:00:00","2023-08-25 00:00:00","{""days"":584}"
3,"François Tremblay","2024-07-26 00:00:00","2022-12-20 00:00:00","{""days"":584}"
24,"Frank Ralston","2024-06-25 00:00:00","2022-11-19 00:00:00","{""days"":584}"
14,"Mark Philips","2022-08-13 00:00:00","2021-01-06 00:00:00","{""days"":584}"
7,"Astrid Gruber","2024-04-24 00:00:00","2022-09-18 00:00:00","{""days"":584}"
44,"Terhi Hämäläinen","2023-03-18 00:00:00","2021-08-11 00:00:00","{""days"":584}"
41,"Marc Dubois","2024-08-26 00:00:00","2023-01-20 00:00:00","{""days"":584}"
49,"Stanisław Wójcik","2024-02-22 00:00:00","2022-07-18 00:00:00","{""days"":584}"
50,"Enrique Muñoz","2025-05-01 00:00:00","2023-09-25 00:00:00","{""days"":584}"
57,"Luis Rojas","2023-08-20 00:00:00","2022-01-13 00:00:00","{""days"":584}"
53,"Phil Hughes","2023-11-21 00:00:00","2022-04-16 00:00:00","{""days"":584}"
25,"Victor Stevens","2025-09-02 00:00:00","2024-01-27 00:00:00","{""days"":584}"
54,"Steve Murray","2025-01-28 00:00:00","2023-06-24 00:00:00","{""days"":584}"
21,"Kathy Chase","2025-12-04 00:00:00","2024-04-29 00:00:00","{""days"":584}"
37,"Fynn Zimmermann","2024-11-27 00:00:00","2023-04-23 00:00:00","{""days"":584}"
6,"Helena Holý","2023-02-15 00:00:00","2021-07-11 00:00:00","{""days"":584}"
11,"Alexandre Rocha","2024-01-22 00:00:00","2022-06-17 00:00:00","{""days"":584}"
40,"Dominique Lefebvre","2023-06-19 00:00:00","2021-11-12 00:00:00","{""days"":584}"
28,"Julia Barnett","2024-03-24 00:00:00","2022-08-18 00:00:00","{""days"":584}"
2,"Leonie Köhler","2023-05-19 00:00:00","2021-10-12 00:00:00","{""days"":584}"
10,"Eduardo Martins","2022-11-14 00:00:00","2021-04-09 00:00:00","{""days"":584}"
27,"Patrick Gray","2023-01-15 00:00:00","2021-06-10 00:00:00","{""days"":584}"
32,"Aaron Mitchell","2023-12-22 00:00:00","2022-05-17 00:00:00","{""days"":584}"
36,"Hannah Schneider","2023-09-20 00:00:00","2022-02-13 00:00:00","{""days"":584}"
31,"Martha Silk","2022-10-14 00:00:00","2021-03-09 00:00:00","{""days"":584}"
19,"Tim Goyer","2023-07-20 00:00:00","2021-12-13 00:00:00","{""days"":584}"
58,"Manoj Pareek","2024-10-27 00:00:00","2023-03-23 00:00:00","{""days"":584}"
15,"Jennifer Peterson","2023-10-21 00:00:00","2022-03-16 00:00:00","{""days"":584}"
46,"Hugh O'Reilly","2025-08-02 00:00:00","2023-12-27 00:00:00","{""days"":584}"
42,"Wyatt Girard","2025-11-03 00:00:00","2024-03-29 00:00:00","{""days"":584}"
23,"John Gordon","2023-04-18 00:00:00","2021-09-11 00:00:00","{""days"":584}"
33,"Ellie Sullivan","2025-02-28 00:00:00","2023-07-25 00:00:00","{""days"":584}"
8,"Daan Peeters","2025-07-02 00:00:00","2023-11-26 00:00:00","{""days"":584}"
29,"Robert Brown","2025-06-01 00:00:00","2023-10-26 00:00:00","{""days"":584}"
16,"Frank Harris","2024-12-28 00:00:00","2023-05-24 00:00:00","{""days"":584}"
20,"Dan Miller","2024-09-26 00:00:00","2023-02-20 00:00:00","{""days"":584}"
52,"Emma Jones","2022-09-13 00:00:00","2021-02-06 00:00:00","{""days"":584}"
52,"Emma Jones","2025-05-01 00:00:00","2023-11-08 00:00:00","{""days"":540}"
31,"Martha Silk","2025-06-01 00:00:00","2023-12-09 00:00:00","{""days"":540}"
9,"Kara Nielsen","2024-04-24 00:00:00","2022-11-01 00:00:00","{""days"":540}"
46,"Hugh O'Reilly","2023-03-18 00:00:00","2021-09-24 00:00:00","{""days"":540}"
30,"Edward Francis","2024-03-24 00:00:00","2022-10-01 00:00:00","{""days"":540}"
51,"Joakim Johansson","2024-02-22 00:00:00","2022-08-31 00:00:00","{""days"":540}"
10,"Eduardo Martins","2025-07-02 00:00:00","2024-01-09 00:00:00","{""days"":540}"
43,"Isabelle Mercier","2024-08-26 00:00:00","2023-03-05 00:00:00","{""days"":540}"
29,"Robert Brown","2023-01-15 00:00:00","2021-07-24 00:00:00","{""days"":540}"
55,"Mark Taylor","2023-11-21 00:00:00","2022-05-30 00:00:00","{""days"":540}"
50,"Enrique Muñoz","2022-12-15 00:00:00","2021-06-23 00:00:00","{""days"":540}"
12,"Roberto Almeida","2022-11-14 00:00:00","2021-05-23 00:00:00","{""days"":540}"
33,"Ellie Sullivan","2022-10-14 00:00:00","2021-04-22 00:00:00","{""days"":540}"
21,"Kathy Chase","2023-07-20 00:00:00","2022-01-26 00:00:00","{""days"":540}"
17,"Jack Smith","2023-10-21 00:00:00","2022-04-29 00:00:00","{""days"":540}"
44,"Terhi Hämäläinen","2025-11-03 00:00:00","2024-05-12 00:00:00","{""days"":540}"
22,"Heather Leacock","2024-09-26 00:00:00","2023-04-05 00:00:00","{""days"":540}"
6,"Helena Holý","2025-10-03 00:00:00","2024-04-11 00:00:00","{""days"":540}"
34,"João Fernandes","2023-12-22 00:00:00","2022-06-30 00:00:00","{""days"":540}"
48,"Johannes Van der Berg","2025-08-02 00:00:00","2024-02-09 00:00:00","{""days"":540}"
13,"Fernanda Ramos","2024-01-22 00:00:00","2022-07-31 00:00:00","{""days"":540}"
54,"Steve Murray","2022-09-13 00:00:00","2021-03-22 00:00:00","{""days"":540}"
23,"John Gordon","2025-12-04 00:00:00","2024-06-12 00:00:00","{""days"":540}"
39,"Camille Bernard","2024-11-27 00:00:00","2023-06-06 00:00:00","{""days"":540}"
16,"Frank Harris","2022-08-13 00:00:00","2021-02-19 00:00:00","{""days"":540}"
1,"Luís Gonçalves","2024-10-27 00:00:00","2023-05-06 00:00:00","{""days"":540}"
25,"Victor Stevens","2023-04-18 00:00:00","2021-10-25 00:00:00","{""days"":540}"
38,"Niklas Schröder","2023-09-20 00:00:00","2022-03-29 00:00:00","{""days"":540}"
59,"Puja Srivastava","2023-08-20 00:00:00","2022-02-26 00:00:00","{""days"":540}"
14,"Mark Philips","2025-03-31 00:00:00","2023-10-08 00:00:00","{""days"":540}"
47,"Lucas Mancini","2024-05-25 00:00:00","2022-12-02 00:00:00","{""days"":540}"
4,"Bjørn Hansen","2023-05-19 00:00:00","2021-11-25 00:00:00","{""days"":540}"
26,"Richard Cunningham","2024-06-25 00:00:00","2023-01-02 00:00:00","{""days"":540}"
37,"Fynn Zimmermann","2022-07-13 00:00:00","2021-01-19 00:00:00","{""days"":540}"
42,"Wyatt Girard","2023-06-19 00:00:00","2021-12-26 00:00:00","{""days"":540}"
35,"Madalena Sampaio","2025-02-28 00:00:00","2023-09-07 00:00:00","{""days"":540}"
56,"Diego Gutiérrez","2025-01-28 00:00:00","2023-08-07 00:00:00","{""days"":540}"
27,"Patrick Gray","2025-09-02 00:00:00","2024-03-11 00:00:00","{""days"":540}"
8,"Daan Peeters","2023-02-15 00:00:00","2021-08-24 00:00:00","{""days"":540}"
18,"Michelle Brooks","2024-12-28 00:00:00","2023-07-07 00:00:00","{""days"":540}"
5,"František Wichterlová","2024-07-26 00:00:00","2023-02-02 00:00:00","{""days"":540}"
56,"Diego Gutiérrez","2025-11-08 00:00:00","2025-03-10 00:00:00","{""days"":243}"
35,"Madalena Sampaio","2025-12-09 00:00:00","2025-04-10 00:00:00","{""days"":243}"
4,"Bjørn Hansen","2024-02-27 00:00:00","2023-06-29 00:00:00","{""days"":243}"
29,"Robert Brown","2023-10-26 00:00:00","2023-02-25 00:00:00","{""days"":243}"
34,"João Fernandes","2024-10-01 00:00:00","2024-02-01 00:00:00","{""days"":243}"
33,"Ellie Sullivan","2023-07-25 00:00:00","2022-11-24 00:00:00","{""days"":243}"
30,"Edward Francis","2025-01-02 00:00:00","2024-05-04 00:00:00","{""days"":243}"
32,"Aaron Mitchell","2022-05-17 00:00:00","2021-09-16 00:00:00","{""days"":243}"
55,"Mark Taylor","2024-08-31 00:00:00","2024-01-01 00:00:00","{""days"":243}"
5,"František Wichterlová","2025-05-06 00:00:00","2024-09-05 00:00:00","{""days"":243}"
1,"Luís Gonçalves","2025-08-07 00:00:00","2024-12-07 00:00:00","{""days"":243}"
54,"Steve Murray","2023-06-24 00:00:00","2022-10-24 00:00:00","{""days"":243}"
7,"Astrid Gruber","2022-09-18 00:00:00","2022-01-18 00:00:00","{""days"":243}"
53,"Phil Hughes","2022-04-16 00:00:00","2021-08-16 00:00:00","{""days"":243}"
8,"Daan Peeters","2023-11-26 00:00:00","2023-03-28 00:00:00","{""days"":243}"
2,"Leonie Köhler","2021-10-12 00:00:00","2021-02-11 00:00:00","{""days"":243}"
9,"Kara Nielsen","2025-02-02 00:00:00","2024-06-04 00:00:00","{""days"":243}"
51,"Joakim Johansson","2024-12-02 00:00:00","2024-04-03 00:00:00","{""days"":243}"
11,"Alexandre Rocha","2022-06-17 00:00:00","2021-10-17 00:00:00","{""days"":243}"
50,"Enrique Muñoz","2023-09-25 00:00:00","2023-01-25 00:00:00","{""days"":243}"
58,"Manoj Pareek","2023-03-23 00:00:00","2022-07-23 00:00:00","{""days"":243}"
12,"Roberto Almeida","2023-08-25 00:00:00","2022-12-25 00:00:00","{""days"":243}"
49,"Stanisław Wójcik","2022-07-18 00:00:00","2021-11-17 00:00:00","{""days"":243}"
13,"Fernanda Ramos","2024-11-01 00:00:00","2024-03-03 00:00:00","{""days"":243}"
47,"Lucas Mancini","2025-03-05 00:00:00","2024-07-05 00:00:00","{""days"":243}"
15,"Jennifer Peterson","2022-03-16 00:00:00","2021-07-16 00:00:00","{""days"":243}"
46,"Hugh O'Reilly","2023-12-27 00:00:00","2023-04-28 00:00:00","{""days"":243}"
16,"Frank Harris","2023-05-24 00:00:00","2022-09-23 00:00:00","{""days"":243}"
45,"Ladislav Kovács","2022-10-19 00:00:00","2022-02-18 00:00:00","{""days"":243}"
17,"Jack Smith","2024-07-31 00:00:00","2023-12-01 00:00:00","{""days"":243}"
3,"François Tremblay","2022-12-20 00:00:00","2022-04-21 00:00:00","{""days"":243}"
43,"Isabelle Mercier","2025-06-06 00:00:00","2024-10-06 00:00:00","{""days"":243}"
18,"Michelle Brooks","2025-10-08 00:00:00","2025-02-07 00:00:00","{""days"":243}"
19,"Tim Goyer","2021-12-13 00:00:00","2021-04-14 00:00:00","{""days"":243}"
42,"Wyatt Girard","2024-03-29 00:00:00","2023-07-30 00:00:00","{""days"":243}"
20,"Dan Miller","2023-02-20 00:00:00","2022-06-22 00:00:00","{""days"":243}"
57,"Luis Rojas","2022-01-13 00:00:00","2021-05-15 00:00:00","{""days"":243}"
41,"Marc Dubois","2023-01-20 00:00:00","2022-05-22 00:00:00","{""days"":243}"
21,"Kathy Chase","2024-04-29 00:00:00","2023-08-30 00:00:00","{""days"":243}"
59,"Puja Srivastava","2024-05-30 00:00:00","2023-09-30 00:00:00","{""days"":243}"
40,"Dominique Lefebvre","2021-11-12 00:00:00","2021-03-14 00:00:00","{""days"":243}"
22,"Heather Leacock","2025-07-07 00:00:00","2024-11-06 00:00:00","{""days"":243}"
23,"John Gordon","2021-09-11 00:00:00","2021-01-11 00:00:00","{""days"":243}"
39,"Camille Bernard","2025-09-07 00:00:00","2025-01-07 00:00:00","{""days"":243}"
24,"Frank Ralston","2022-11-19 00:00:00","2022-03-21 00:00:00","{""days"":243}"
38,"Niklas Schröder","2024-06-30 00:00:00","2023-10-31 00:00:00","{""days"":243}"
28,"Julia Barnett","2022-08-18 00:00:00","2021-12-18 00:00:00","{""days"":243}"
25,"Victor Stevens","2024-01-27 00:00:00","2023-05-29 00:00:00","{""days"":243}"
37,"Fynn Zimmermann","2023-04-23 00:00:00","2022-08-23 00:00:00","{""days"":243}"
26,"Richard Cunningham","2025-04-05 00:00:00","2024-08-05 00:00:00","{""days"":243}"
36,"Hannah Schneider","2022-02-13 00:00:00","2021-06-15 00:00:00","{""days"":243}"
30,"Edward Francis","2022-10-01 00:00:00","2022-02-10 00:00:00","{""days"":233}"
1,"Luís Gonçalves","2023-05-06 00:00:00","2022-09-15 00:00:00","{""days"":233}"
