"customer_id","customer_name","invoice_month","monthly_spending","previous_invoice_month","previous_monthly_spending","difference_previous_monthly_spending"
57,"Luis Rojas","2023-08","1.98","2022-01","17.91","-15.93"
26,"Richard Cunningham","2025-04","8.91","2024-08","23.86","-14.95"
45,"Ladislav Kovács","2022-10","8.91","2022-02","21.86","-12.95"
46,"Hugh O'Reilly","2023-12","8.91","2023-04","21.86","-12.95"
37,"Fynn Zimmermann","2024-11","1.98","2023-04","14.91","-12.93"
28,"Julia Barnett","2025-05","0.99","2024-09","11.94","-10.95"
7,"Astrid Gruber","2022-09","8.91","2022-01","18.86","-9.95"
25,"Victor Stevens","2024-01","8.91","2023-05","18.86","-9.95"
5,"František Wichterlová","2025-05","8.91","2024-09","16.86","-7.95"
43,"Isabelle Mercier","2025-06","8.91","2024-10","16.86","-7.95"
